,n,exact_match,bleu4,meteor,bertscore_f1
colour,1114.0,0.0,23.84685882575919,0.3926267253999195,0.7509965300559998
bw,1124.0,0.0,26.168234099860165,0.37330878191399763,0.7206438779830933
