,n,exact_match,bleu4,meteor,bertscore_f1
colour,1114.0,0.0,25.112752422171056,0.4029106104454777,0.7686598896980286
bw,1124.0,0.0017793594306049821,27.802208566371487,0.36960409458949306,0.7251377105712891
