dataset,variant,n,exact_match,bleu4,meteor,bertscore_f1
Numbers_Data,colour,372,0.0,21.798016981039147,0.3532276683712289,0.771086573600769
Numbers_Data,bw,372,0.002688172043010753,9.779719863163212,0.2577866644391306,0.6396046280860901
Shapes_Data,colour,372,0.0,26.33399264750028,0.45881539592481035,0.7701858282089233
Shapes_Data,bw,372,0.0,24.17976433818215,0.4248683672360836,0.7670788764953613
TicTacToe_Data,colour,370,0.0,34.62451888173514,0.48899255375243267,0.8018462061882019
TicTacToe_Data,bw,380,0.0,37.85471009221741,0.5066823451908525,0.8148198127746582
