dataset,variant,n,exact_match,bleu4,meteor,bertscore_f1
Numbers_Data,colour,372,0.0,22.014235345199253,0.3794305945114455,0.7844654321670532
Numbers_Data,bw,372,0.0,13.888728980047949,0.32273546675545844,0.6807885766029358
Shapes_Data,colour,372,0.0,23.008118831189,0.44839372382106313,0.7541179060935974
Shapes_Data,bw,372,0.0,20.444327013350534,0.41332033694903086,0.7437992691993713
TicTacToe_Data,colour,370,0.0,34.88747942389997,0.532570508600284,0.8054199814796448
TicTacToe_Data,bw,380,0.0,35.97846155560912,0.5428897565248635,0.8091005682945251
