dataset,variant,n,exact_match,bleu4,meteor,bertscore_f1
Numbers_Data,colour,372,0.0,17.920748525573202,0.28866365233509256,0.7282024025917053
Numbers_Data,bw,372,0.0,13.123272643270122,0.26974019187303105,0.64398592710495
Shapes_Data,colour,372,0.0,17.364403124383344,0.39365780586764826,0.7421770691871643
Shapes_Data,bw,372,0.0,17.57497348736924,0.34955855699216015,0.7257150411605835
TicTacToe_Data,colour,370,0.0,34.21805409354958,0.49611510714619117,0.7827807664871216
TicTacToe_Data,bw,380,0.0,36.31151303788665,0.4979472007723218,0.7907233834266663
