,n,exact_match,bleu4,meteor,bertscore_f1
colour,1114.0,0.0,27.8194325769319,0.43357923232183726,0.7810022234916687
bw,1124.0,0.0008896797153024911,28.57451176416231,0.39723039408870436,0.7410300970077515
