variant,split,n,exact_match,bleu4,meteor,bertscore_p,bertscore_r,bertscore_f1
custom,overall,2238,0.00044682752457551384,28.14159494926405,0.4153236048982263,0.7752424478530884,0.7493376135826111,0.7609268426895142
custom,Shapes_Data,744,0.0,25.59442770776257,0.44184188158044696,0.779194176197052,0.7605303525924683,0.7686322927474976
custom,Numbers_Data,744,0.0013440860215053765,18.758902112443312,0.3055071664051797,0.7268885970115662,0.688498854637146,0.7053455710411072
custom,TicTacToe_Data,750,0.0,36.24161860942583,0.49795538141456547,0.8192893266677856,0.7985862493515015,0.8084195256233215
bert,overall,2238,0.0,26.336011436380698,0.4401754249594801,0.7570961117744446,0.771131157875061,0.763075590133667
bert,Shapes_Data,744,0.0,21.790472730787194,0.43085703038504697,0.7402511835098267,0.7600084543228149,0.7489586472511292
bert,Numbers_Data,744,0.0,19.43645477294968,0.351083030633452,0.718182384967804,0.7504368424415588,0.7326269745826721
bert,TicTacToe_Data,750,0.0,35.63342981615181,0.5377989275487376,0.8124085068702698,0.802693784236908,0.8072848916053772
