,n,exact_match,bleu4,meteor,bertscore_f1
colour,1114.0,0.0,26.748435716081048,0.45332292154559994,0.7812911868095398
bw,1124.0,0.0,25.760919189364706,0.4271448989835571,0.745022177696228
